物品名,保管場所,カテゴリ,状態,備考
6001KM,車庫奥,K,,
6006,車庫入口,RK,,
5.5品,車庫入口,,,
2060A,車庫入口,BB,,
6400KG,車庫入口,K,,1050ー−2040
6000KM,旧工場　１Fダンボール⑦,K,,"420-1180
390-1100
340-640
330-570
290-1620
230-2450
"
6301KN,旧工場１F ダンボール⑥,K,,85-1850
6613,旧工場１F　ダンボール①,K,,920-2450
6304KN,旧工場１F　ダンボール①,K,,"130/2450
"
2051K(16),旧工場１F　ダンボール①,TJY,,280-2450
2694,旧工場１F　ダンボール①,TJ,使用中,"695-1230
よこめ"
274KMN,旧工場１F　ダンボール②,SAI,,
6400KN,工場1F,K,,"620-2450
4x81枚"
1801KM,旧工場１F　ダンボール③,SAL,,"800＊2400
260-1630
170-1850
"
10310K,旧工場１F　ダンボール②,JC,,"
410-840
240-1850
"
6001KM,工場1F,K,,"600/900
1220/970
280/1230
440/900
250/850
320/620
"
6001KN,工場2F 階段前ダンボール,K,,"630/1380
360/1850x2
290/1850x3

"
426K,工場2F,TJ,,
2413B,工場2F,JC,,1230/1230
6005KN,工場1F,K,,"窓下
1030/2400"
6400,工場1F,MR,,1220/1640
153KG,旧工場１F　ダンボール②,AI,,"180/2450
1000/600
1050/480
"
6000G,車庫入口,RB,3x6,
556,旧工場１F　ダンボール①,TJY,,"840/1850
"
6200CL(74),工場1F,OKF,使用中,"1020/2450
1200/2450@8"
805K(91),旧工場１F　ダンボール②,JI,使用中,"260/1100
260/1350
400/2450x2
730/940
"
10201K(29),工場2F,TJN,,"550*1880
1200×1100×6
"
10190K(16）,工場1F,TJ,,"810×2450
"
5114,工場1F,C,,370-1850
6108KN,旧工場１F　ダンボール②,K,,"900-650
150-1500
300-2450
"
6018KN,旧工場１F ダンボール⑥,K,,"130-2400
330-1300
760-970"
6302,旧工場１F　ダンボール②,K,,"23/03昭和西川
730-1850
110-2450"
6202KF71,旧工場１F　ダンボール②,PJ,,660-1850
516,旧工場１F　ダンボール②,JC,,"100-1850

210-1310

"
6400RD(74),工場1F,GK,,"650-1850
テープ付き真ん中破損"
10040K(40),旧工場１F　ダンボール③,TSY,,"150-2400
460-1390
"
6514,旧工場１F ダンボール⑥,K,,"120-1850
"
6110KN,旧工場１F ダンボール⑥,K,,390/1010
568,旧工場１F ダンボール⑥,JC,,960×2450
6200KS89,旧工場１F　ダンボール⑤,KJ,,"530-2450
360-670
130-840
930/1310"
10240k(74),旧工場１F ダンボール⑥,TJ,,"960-2450
250-1780
"
6000KH91,旧工場１F　ダンボール⑤,KJ,,"530-2450
320-2460
"
543K(62),旧工場１F　ダンボール③,TJY,,"165×1850
425×610
130-1850"
18179ｋ,旧工場１F　ダンボール③,TJY,,"450X1250
470X1850
"
6607(74),旧工場１F　ダンボール④,TK,,"570x2450x2枚
285ｘ1850
280x1850x3枚
240x1850
230x1850
380x1850
790x930
470x940
345x630x2枚
605ｘ1230
270ｘ1230
615ｘ680
615ｘ580
200×2450
540×2450
"
2005k(98),工場1F,JC,,100/1850
6614,旧工場１F　ダンボール②,TK,,"460/2450
"
6200KN,旧工場１F　ダンボール⑤,K,,"420/450
450/520
670/650
"
10203,旧工場１F　ダンボール②,TSY,,480/2450
2055,旧工場１F　ダンボール③,TJ,,"430,2400"
10028K(16),旧工場１F　ダンボール①,LJ,,"505×2440
ポリ600×2400"
10189K(62),旧工場１F　ダンボール①,JC,,"6/27使用
1230×420"
シナべニア４ｘ８,工場在庫置き場,,,
10224K,旧工場１F　ダンボール③,TJ,,"175×1200
185×2450"
6002KN,工場1F,K,,"740/1850
940/2500
"
